företagsnamn,organisationsnummer,telefonnummer,adress
Etab Relocation AB,556630-5446,08-642 85 00,"Skärgårdsvägen 270, 139 30 Värmdö"
Bröderna Flytt AB,559224-3348,070-080 90 91,"Faktorvägen 2, 434 37 Kungsbacka"
Roslagens Europa Transport Aktiebolag,556442-3100,0176-159 84,"Norrtäljevägen 366, 76174 Norrtälje"
NATIONAL LOGISTIK,559555-9922,010-155 62 29,"Moa Martinsons Gata 28, 603 78 Norrköping, 603 78 Norrköping"
Söders Möbelexpress AB,556964-6853,070-200 25 44,"Överbo 636, 826 93 Söderhamn"
CJM Service AB - Städ & Flyttjänster i Stockholm,559479-4850,08-20 99 95,"Hammarbybacken 27, 120 30 tockholm"
Call4care AB,559182-9048,010-330 09 96,"Verktygsvägen 10, 553 02 Jönköping"
Nordiska Flyttkompaniet AB,556980-7901,031-25 25 25,"Kärrlyckegatan 24, 418 78 GÖTEBORG"
Haynes Flytt AB,559339-5881,031-27 85 00,"Bäckstensgatan 11 b, 431 49 Mölndal"
Zimpelt As That AB,559367-0945,010-330 38 83,"Gästrikegatan 17, 11362 Stockholm"
Västsvenska Flyttbyrån AB,559160-4425,031-96 96 88,"Amalia Jönssons Gata 17, 421 31 Västra Frölunda"
Flyttfirma Östra Aros Transport AB,556891-0813,018-36 53 04,"Hyttögatan 6, 752 28 Uppsala"
BudCenter,559219-4426,018-24 00 20,"Lefflersgatan 3 b, 754 50 Uppsala"
TopFive Flytt & Städ AB,559492-3814,010-555 87 99,"Magnegatan 40, 195 57 Märsta"
Malmö Flytt- o Möbeltransport,631015-XXXX,040-19 02 01,
OCT AB,556269-7788,08-739 20 00,"Domnarvsg. 9, 163 53 Spånga"
Malmö Flyttjänst AB,559050-7660,040-30 00 89,"Idunsgången 30, 235 35 Vellinge"
Tour and Transport Service AB,556375-7037,070-811 86 74,"Mariebergsvägen 11, 139 30 VÄRMDÖ"
Gefleborgs Flyttservice AB,556750-8949,026-18 40 40,"Johannesbergsvägen 30, 802 93 Gävle"
AUTO-A EXPRESS AB,559407-3735,040-93 97 95,"Hansavägen 9, 261 75 Asmundtorp"
Guldhedens Flyttexpress AB,556523-0223,031-16 44 42,"Södra Långebergsgatan 28, 436 32 Askim"
m4 gruppen Aktiebolag,556787-8318,010-551 01 00,"Kraftlinjegatan 14, 721 36 Västerås"
Alfa Mobility Sweden AB,556501-0229,010-331 38 00,"Linnégatan 87 d, 115 23 Stockholm"
Börje Jönsson Åkeri AB,556080-1705,042-29 50 50,"Bunkagårdsgatan 14, 25368 HELSINGBORG"
Movator AB,556389-2180,08-549 011 55,"Himmelsbodavägen 10, 147 39 Tumba"
Hellströms Bygg AB,559349-7034,,"Spikvägen 9, 943 36 Öjebyn"
SBK Moving Sweden AB,556267-9745,08-645 04 40,"Silovägen 7 Aa, 136 50 Jordbro"
LBC Bohusfrakt AB,556617-8348,0525-193 00,"Industrivägen 3 c, 457 31 Tanumshede"
Bäckebols Åkeri Aktiebolag,556472-7286,031-57 03 80,"Transportgatan 51, 422 46 Hisings Backa"
Kalles Bud & Transport i Norr Aktiebolag,556345-0179,0920-20 01 00,"Murbruksvägen 11, 973 45 Luleå"
Örebro Flyttningsbyrå AB,556206-9087,,"Transportgatan 5, 702 27 Örebro"
VAME Gruppen AB,556916-5912,,"Garpenbergsgatan 2, 163 53 Spånga"
Freys Express i Stockholm AB,556639-6049,08-38 50 50,"Kumla Gårdsväg 22, 145 63 Norsborg"
Future Mobility AB,559229-5181,,"Dåntorpsvägen 30, 136 50 Jordbro"
JS Frakt AB,556557-4133,060-786 98 30,"Fyrspannsvägen 11, 857 52 Sundsvall"
Eterne AB,556790-5160,08-445 70 70,"Kumla Gårdsväg 23, 145 63 Norsborg"
Grabbarna Flytt Sweden AB,559121-6261,,"Alströmergatan 51, 112 47 Stockholm"
John Eggens Åkeri Aktiebolag,556257-4797,0505-108 40,"Simmatorpsgatan 1, 532 40 Skara"
Hellströms Maskin & Transport AB,559349-7042,,"Spikvägen 9, 943 36 Öjebyn"
Movator Sydväst AB,556815-9908,031-21 56 45,"Transportvägen 17, 422 46 Hisings Backa"
RT Logistik AB,559299-7711,,"Importgatan 12 a, 422 46 Hisings Backa"
Onspot Logistic AB,556975-1968,,"Sisjö Kullegata 8, 436 32 Askim"
Jordgubbsprinsen AB,556847-5197,010-777 30 00,"Franzéngatan 30, 112 16 Stockholm"
AM-Berglund AB,556817-9658,010-204 00 64,"Fridhemsplan 4 D, 792 30 Mora"
Excellent Moving Sweden AB,559187-8987,,"Hornsgatan 143 d, 117 28 Stockholm"
KontorsCenter i Hudiksvall Aktiebolag,556259-7863,0650-54 71 71,"Bankgränd 3, 824 45 Hudiksvall"
Reviani AB,556743-5275,070-483 90 76,"Box 7502, 103 92 Stockholm"
R T Inreco AB,556603-8278,08-626 73 20,"Staffans Väg 7, 192 78 Sollentuna"
Möbelkillarna AB,556380-7923,020-021 02 14,"Vinkelgatan 5, 211 24 Malmö"
Acta Flytt och Logistik Syd AB,556791-1325,040-12 74 00,"Bjurögatan 40, 211 24 Malmö"
Björnbergs Åkeri & Grus Aktiebolag,556380-5695,0159-700 20,"Skäggetorp, 155 93 Nykvarn"
Kiviks Express Klas Hansson Åkeri AB,556495-7180,0414-41 42 40,"Åkarpsvägen 2, 277 35 Kivik"
Montrab Mellersta AB,556809-2075,070-315 47 74,"Hugo Hedströms Väg 8, 781 72 Borlänge"
Stockholms Miljöbud 838383 AB,556653-5000,,"Kungsholms Strand 145, 112 48 Stockholm"
FS Express & Logistik AB,556992-8236,,"Dammliden 5, 137 69 Österhaninge"
JC Flytt & Städ AB,559143-3247,042-557 77,"Andesitgatan 9, 254 68 Helsingborg"
Cleverex Omsorg AB,559087-7972,,"Radiatorvägen 15, 702 02 Örebro"
Freys Express i Malmö AB,556672-3333,040-39 43 60,"Frihamnsallén 8, 211 20 Malmö"
June Express AB,556218-1809,,"Skiffervägen 6, 553 03 Jönköping"
P. ISAKSSONS ÅKERI PITEÅ Aktiebolag,556457-8317,0911-20 91 40,"Harrbäcken 230, 945 91 Norrfjärden"
GLC Flytt AB,556547-5471,031-709 85 30,"Gårdstens Industriväg 6, 424 38 Agnesberg"
Norrland Express AB,556865-9881,090-420 10,"Kontaktvägen 7, 901 33 Umeå"
Tetrisflytt AB,559414-6770,,"Schaktugnsgatan 5, 216 16 Limhamn"
JP Movers AB,556666-2747,,"Sparbanksvägen 75, 129 30 Hägersten"
Albatros 24/7 AB,559267-9731,,"Hornsgatan 143 d, 117 28 Stockholm"
SB Transport Skåne AB,559329-1098,,"Emilstorpsgatan 23, 213 64 Malmö"
Cleanfresh 2014 AB,556974-4286,08-121 478 73,"Valhallavägen 135, 115 31 Stockholm"
Flyttpoolen Stockholm AB,556651-8733,08-770 00 00,"Frukthandlarvägen 9, 120 44 Årsta"
Flytt-Anders Aktiebolag,556665-6301,013-14 41 43,"Finnögatan 4, 582 78 Linköping"
Safe Carrier Logistics AB,556784-8667,010-168 97 00,"Dåntorpsvägen 4, 136 50 Jordbro"
Billy and Dennis AB,556679-3013,010-265 26 50,"Fjärilsgatan 54, 603 61 Norrköping"
Rospiggen Express AB,556574-4090,08-545 422 80,"Fagerdalavägen 11 c, 139 52 Värmdö"
Freys Express i Linköping AB,556569-9161,013-12 48 40,"Kolfallsgatan 27, 582 73 Linköping"
Dekargo AB,559139-1445,,"c/o DEKARGOAB, Aspvägen 7 a, 191 41 Sollentuna"
Albex Moving AB,559337-7400,,"Transportvägen 14, 241 38 Eslöv"
Freys Express i Göteborg AB,556963-0139,031-748 06 70,"Kärragatan 8, 431 53 Mölndal"
EXIN Bygg & Inredning i Västerås Aktiebolag,556223-9011,021-17 17 30,"Metallverksgatan 21, 721 30 Västerås"
Mister service sverige AB,559212-6659,,"Stambanevägen 111, 141 39 Huddinge"
Heby Städ & Flytt AB,556659-2241,0224-775 00,"Bergslagsgatan 1 e, 733 31 Sala"
Städnivå AB,556425-8415,,
SoviMax AB,559399-8007,,"Dalgatan 18, 233 61 Bara"
Flyttningsbyrån Halmstad AB,556768-9210,,"Slottsmöllan, 302 31 Halmstad"
Wermlandsflytt Aktiebolag,556492-9742,,"Blekegatan 2, 652 21 Karlstad"
Elitlog AB,559074-5419,,"Elin Hammars Väg 32, 734 40 Hallstahammar"
EnFlytt Sverige AB,559479-6806,,"Kungsängsvägen 29, 753 23 Uppsala"
Umer express AB,559413-9858,,"Ulriksbergspromenaden 41, 352 26 Växjö"
Umeå Stadsbud AB,556698-4760,,"Täktvägen 2, 904 40 Röbäck"
Scandinavia Contractor AB,556547-6743,070-418 54 86,"Gösvägen 22, 761 48 Norrtälje"
Bröderna Magnussons Maskin Aktiebolag,556213-3792,0271-152 56,"Rotebergsvägen 154, 828 34 Edsbyn"
Global Flytt AB,559247-9371,,"Idögatan 46 j, 582 78 Linköping"
Göteborgs Flytt och Tunglyft AB,556917-4237,,"Södra Långebergsgatan 28, 436 32 Askim"
Excellent Cleaning Sweden AB,559391-6256,,"Hornsgatan 143 d, 117 28 Stockholm"
Affärsbyrån Effecta Aktiebolag,556255-2900,021-10 84 20,"Österleden 2, 721 35 Västerås"
NNTE Budbyrån AB,556459-2417,031-23 25 80,"c/o Ackordscentralen Väst AB, Box 2525, 403 17 Göteborg"
Bringish AB,559169-9342,,"Ringögatan 5, 417 07 Göteborg"
Lindome Flyttningsbyrå AB,556322-2800,031-99 67 15,"Flöjelbergsgatan 7 b, 431 37 Mölndal"
Boostit service AB,559281-3017,,"c/o m.riahi, Björknäs Torg 23, 132 40 Saltsjö-Boo"
Antifrassisterna AB,559266-0202,,"Kopparbergsgatan 15, 214 44 Malmö"
UPPSALA STADSBUDSKONTOR Aktiebolag,556464-5322,,"Danmarksgatan 24, 753 23 Uppsala"
Freys Express i Uppsala AB,556715-0478,,"Danmarksgatan 47, 753 23 Uppsala"
Recycling Partner RP i Södertälje AB,556927-5836,08-643 27 77,"Kvarnholmsvägen 56, 131 76 Nacka"
CaMa Service AB,556991-6355,,"Siktgatan 8, 162 50 Vällingby"
Losells Städ & Fönsterputs AB,556913-1104,,"Verkstadsvägen 5, 241 38 Eslöv"
Partille Kyltransport AB,559144-8765,,"Långavallsgatan 8, 424 57 Gunnilse"
Jämt Flytt AB,556114-7348,063-355 00,"Vallvägen 10, 831 48 Östersund"
Städgiganten AB,559181-7472,020-22 70 00,"Ebba Brahes Väg 8, 192 69 Sollentuna"
Sthlmtransportcenter AB,559424-7321,,"Norra Kronans Gata 432 Lgh 1301, 136 76 Brandbergen"
Handelslagret Sweden AB,559114-5494,,"Västerled 2, 811 37 Sandviken"
CQs Flytt & städ AB,559207-7605,,"Timmermansgatan 7, 613 31 Oxelösund"
AM Movers AB,559203-2113,,"Skarprättarvägen 7 Lokal 18, 176 77 Järfälla"
Flyttella AB,559301-7105,,"c/o INFRACOM TRUST-IT AB, Lövdalsvägen 44 b, 141 73 Segeltorp"
Flyttbolaget i Stockholm AB,556826-1027,08-30 10 60,"Nioörtsvägen 36-40, 126 32 Hägersten"
MMS Service AB,559339-3118,,"Brommavägen 8, 169 30 Solna"
Totalflytt Sverige AB,556947-3639,,"Rattgatan 1, 261 51 Landskrona"
Pick Pack Flytt AB,559493-6410,,"Fågelviksvägen 9, 145 53 Norsborg"
Sydhagens transport och konsult AB,556939-6632,072-700 22 24,"Åbacksvägen 13, 619 73 Vagnhärad"
Freys Express i Karlstad AB,556703-6255,,"Östanvindsgatan 17, 652 21 Karlstad"
NS Nordic Service AB,559192-4955,,"Stuverigatan 2, 261 35 Landskrona"
SmartBox Sweden AB,556815-0188,073-262 90 92,"Kosterögatan 15, 211 24 Malmö"
Preo Express Aktiebolag,556596-9317,,"Västbergavägen 24, 126 30 Hägersten"
Flytt 4 You Malmö AB,559137-1413,040-615 36 44,"Kosterögatan 15, 211 24 Malmö"
Nästa Generation Hellströms AB,556246-9105,,"Spikvägen 9, 943 36 Öjebyn"
Stjärnexpressen AB,556317-0199,,"Kaptensgatan 3, 602 38 Norrköping"
FLYTTFABRIKEN AB,556753-6288,08-515 100 99,"Östermalmstorg 1, 114 42 Stockholm"
Flytthjälpen Sverige AB,559377-2287,,"Ekängsgatan 16, 506 48 Borås"
